Clave del Capitulo;Clave de la partida;Clave de la subpartida;Fracción Arancelaria;Descripción Fracción Arancelaria;Tipo de Operación;Tipo de UMT;Fecha Inicio de Vigencia;Fecha Fin de Vigencia;Estatus activo;
01;01;29;01012901;Para saltos o carreras.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;29;01012901;Para saltos o carreras.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;si fecha de vigencia es distinto a null se pone NO
01;01;29;01012902;Sin pedigree, para reproducción.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;29;01012902;Sin pedigree, para reproducción.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;29;01012903;Para abasto, cuando la importacion la realicen empacadoras Tipo Inspeccion Federal.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;29;01012903;Para abasto, cuando la importacion la realicen empacadoras Tipo Inspeccion Federal.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;29;01012999;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;29;01012999;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;30;01013001;Asnos.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;30;01013001;Asnos.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;21;01012101;Reproductores de raza pura.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;21;01012101;Reproductores de raza pura.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;10;01011001;Caballos.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;10;01011001;Caballos.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;10;01011099;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;10;01011099;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;90;01019099;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;90;01019099;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;90;01019001;Caballos para saltos o carreras.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;90;01019001;Caballos para saltos o carreras.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;90;01019002;Caballos sin pedigree, para reproducción.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;90;01019002;Caballos sin pedigree, para reproducción.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;90;01019003;Caballos para abasto, cuando la importación la realicen empacadoras tipo Inspección Federal.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;01;90;01019003;Caballos para abasto, cuando la importación la realicen empacadoras tipo Inspección Federal.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;90;01029001;Vacas lecheras.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;90;01029001;Vacas lecheras.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;90;01029002;Con pedigree o certificado de alto registro, excepto lo comprendido en la fracción 0102.90.01.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;90;01029002;Con pedigree o certificado de alto registro, excepto lo comprendido en la fracción 0102.90.01.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;90;01029003;Bovinos para abasto, cuando sean importados por Industrial de Abastos.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;90;01029003;Bovinos para abasto, cuando sean importados por Industrial de Abastos.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;90;01029099;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;90;01029099;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;10;01021001;Reproductores de raza pura.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;10;01021001;Reproductores de raza pura.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;21;01022101;Reproductores de raza pura.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;21;01022101;Reproductores de raza pura.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;29;01022999;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;29;01022999;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;29;01022901;Vacas lecheras.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;29;01022901;Vacas lecheras.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;29;01022902;Con pedigree o certificado de alto registro, excepto lo comprendido en la fracción 0102.29.01.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;29;01022902;Con pedigree o certificado de alto registro, excepto lo comprendido en la fracción 0102.29.01.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;31;01023101;Reproductores de raza pura.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;31;01023101;Reproductores de raza pura.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;39;01023999;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;02;39;01023999;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;10;01031001;Reproductores de raza pura.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;10;01031001;Reproductores de raza pura.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;92;01039201;Con pedigree o certificado de alto registro.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;92;01039202;De peso superior a 110 kg, excepto lo comprendido en las fracciones 0103.92.01 y 0103.92.03.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;92;01039203;Pecarís.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;92;01039299;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;92;01039201;Con pedigree o certificado de alto registro.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;92;01039202;De peso superior a 110 kg, excepto lo comprendido en las fracciones 0103.92.01 y 0103.92.03.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;92;01039299;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;92;01039203;Pecarís.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;91;01039101;Con pedigree o certificado de alto registro.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;91;01039102;Pecarís.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;91;01039199;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;91;01039102;Pecarís.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;91;01039101;Con pedigree o certificado de alto registro.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;03;91;01039199;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;04;10;01041002;Para abasto.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;04;10;01041001;Con pedigree o certificado de alto registro.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;04;10;01041099;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;04;10;01041001;Con pedigree o certificado de alto registro.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;04;10;01041002;Para abasto.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;04;10;01041099;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;04;20;01042001;Con pedigree o certificado de alto registro.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;04;20;01042099;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;04;20;01042001;Con pedigree o certificado de alto registro.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;04;20;01042099;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;04;20;01042002;Borrego cimarrón.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;04;20;01042002;Borrego cimarrón.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;94;01059401;Gallos de pelea.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;94;01059499;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;94;01059401;Gallos de pelea.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;94;01059499;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;99;01059999;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;99;01059999;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;13;01051301;Patos.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;13;01051301;Patos.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;14;01051401;Gansos.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;14;01051401;Gansos.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;15;01051501;Pintadas.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;15;01051501;Pintadas.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;19;01051999;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;19;01051999;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;11;01051101;Cuando no necesiten alimento durante su transporte.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;11;01051102;Aves progenitoras recién nacidas, con certificado de alto registro, cuando se importe un máximo de 18,000 cabezas por cada operación.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;11;01051199;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;11;01051101;Cuando no necesiten alimento durante su transporte.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;11;01051199;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;11;01051102;Aves progenitoras recién nacidas, con certificado de alto registro, cuando se importe un máximo de 18,000 cabezas por cada operación.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;12;01051201;Pavos (gallipavos).;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;05;12;01051201;Pavos (gallipavos).;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;12;01061201;"Ballenas, delfines y marsopas (mamíferos del orden Cetáceos); manatíes y dugones o dugongos (mamíferos del orden Sirenios); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia).";EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;12;01061201;"Ballenas, delfines y marsopas (mamíferos del orden Cetáceos); manatíes y dugones o dugongos (mamíferos del orden Sirenios); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia).";IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;11;01061199;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;11;01061101;Monos (simios) de las variedades Macacus rhesus o Macacus cercophitecus.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;11;01061101;Monos (simios) de las variedades Macacus rhesus o Macacus cercophitecus.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;11;01061199;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;19;01061902;"Venado rojo (Cervus elaphus); gamo (Dama dama).";IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;19;01061902;"Venado rojo (Cervus elaphus); gamo (Dama dama).";EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;19;01061903;Perros.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;19;01061999;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;19;01061901;Berrendo, oso, lobo, castor, puma, jaguar, ocelote, margay, gato de monte o tapir.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;19;01061903;Perros.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;19;01061999;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;19;01061904;Conejos.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;19;01061904;Conejos.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;19;01061905;Focas, elefantes y leones marinos.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;19;01061905;Focas, elefantes y leones marinos.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;19;01061901;Berrendo, oso, lobo, castor, puma, jaguar, ocelote, margay, gato de monte o tapir.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;14;01061401;Conejos y liebres.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;14;01061401;Conejos y liebres.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;13;01061301;Camellos y los demás camélidos (Camelidae).;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;13;01061301;Camellos y los demás camélidos (Camelidae).;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;20;01062001;Víbora de cascabel.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;20;01062099;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;20;01062001;Víbora de cascabel.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;20;01062003;Tortugas de agua dulce o de mar.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;20;01062002;Tortugas terrestres.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;20;01062099;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;20;01062002;Tortugas terrestres.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;20;01062003;Tortugas de agua dulce o de mar.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;33;01063301;"Avestruces; emús (Dromaius novaehollandiae).";IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;33;01063301;"Avestruces; emús (Dromaius novaehollandiae).";EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;49;01064999;Los demás.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
01;06;49;01064999;Los demás.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
01;06;39;01063901;"Flamencos; quetzales; guan cornudo; pato real.";IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;39;01063999;Las demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;39;01063902;Aves canoras.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;39;01063901;"Flamencos; quetzales; guan cornudo; pato real.";EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;39;01063999;Las demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;39;01063902;Aves canoras.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;41;01064101;Abejas.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
01;06;41;01064101;Abejas.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
01;06;31;01063101;Aves de rapiña.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;31;01063101;Aves de rapiña.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;32;01063201;Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos).;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;32;01063201;Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos).;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;90;01069003;Lombriz acuática.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
01;06;90;01069099;Los demás.;IMPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;90;01069003;Lombriz acuática.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
01;06;90;01069004;Ácaros Phytoseiulus persimilis.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
01;06;90;01069002;Lombriz Rebellus.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
01;06;90;01069099;Los demás.;EXPORTACIÓN;Cabeza;1/11/11;(NULL);SI;
01;06;90;01069002;Lombriz Rebellus.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
01;06;90;01069004;Ácaros Phytoseiulus persimilis.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
01;06;90;01069001;Abejas.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
01;06;90;01069001;Abejas.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;01;30;02013001;Deshuesada.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;01;30;02013001;Deshuesada.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;01;20;02012099;Los demas cortes (trozos) sin deshuesar.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;01;20;02012099;Los demas cortes (trozos) sin deshuesar.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;01;10;02011001;En canales o medias canales.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;01;10;02011001;En canales o medias canales.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;02;10;02021001;En canales o medias canales.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;02;10;02021001;En canales o medias canales.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;02;20;02022099;Los demás cortes (trozos) sin deshuesar.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;02;20;02022099;Los demás cortes (trozos) sin deshuesar.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;02;30;02023001;Deshuesada.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;02;30;02023001;Deshuesada.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;03;29;02032999;Las demas.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;03;29;02032999;Las demas.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;03;21;02032101;En canales o medias canales.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;03;21;02032101;En canales o medias canales.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;03;19;02031999;Las demas.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;03;19;02031999;Las demas.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;03;11;02031101;En canales o medias canales.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;03;11;02031101;En canales o medias canales.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;03;22;02032201;Piernas, paletas, y sus trozos, sin deshuesar.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;03;22;02032201;Piernas, paletas, y sus trozos, sin deshuesar.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;03;12;02031201;Piernas, paletas, y sus trozos, sin deshuesar.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;03;12;02031201;Piernas, paletas, y sus trozos, sin deshuesar.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;22;02042299;Los demás cortes (trozos) sin deshuesar.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;22;02042299;Los demás cortes (trozos) sin deshuesar.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;10;02041001;Canales o medias canales de cordero, frescas o refrigeradas.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;10;02041001;Canales o medias canales de cordero, frescas o refrigeradas.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;21;02042101;En canales o medias canales.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;21;02042101;En canales o medias canales.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;50;02045001;Carne de animales de la especie caprina.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;50;02045001;Carne de animales de la especie caprina.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;30;02043001;Canales o medias canales de cordero, congeladas.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;30;02043001;Canales o medias canales de cordero, congeladas.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;41;02044101;En canales o medias canales.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;41;02044101;En canales o medias canales.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;42;02044299;Los demás cortes (trozos) sin deshuesar.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;42;02044299;Los demás cortes (trozos) sin deshuesar.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;43;02044301;Deshuesadas.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;43;02044301;Deshuesadas.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;23;02042301;Deshuesadas.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;04;23;02042301;Deshuesadas.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;05;00;02050001;Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;05;00;02050001;Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;10;02061001;De la especie bovina, frescos o refrigerados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;10;02061001;De la especie bovina, frescos o refrigerados.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;22;02062201;Hígados.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;22;02062201;Hígados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;41;02064101;Hígados.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;41;02064101;Hígados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;29;02062999;Los demas.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;29;02062999;Los demas.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;30;02063001;"Pieles de cerdo enteras o en recortes, refrigerados, excepto el cuero precocido en trozos (""pellets"").";EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;30;02063099;Los demás.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;30;02063099;Los demás.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;30;02063001;"Pieles de cerdo enteras o en recortes, refrigerados, excepto el cuero precocido en trozos (""pellets"").";IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;49;02064999;Los demas.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;49;02064901;Pieles de cerdo enteras o en recortes, excepto el cuero precocido en trozos ( pellets ).;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;49;02064999;Los demas.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;49;02064901;Pieles de cerdo enteras o en recortes, excepto el cuero precocido en trozos ( pellets ).;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;21;02062101;Lenguas.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;21;02062101;Lenguas.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;90;02069099;Los demás, congelados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;90;02069099;Los demás, congelados.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;80;02068099;Los demás, frescos o refrigerados.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;06;80;02068099;Los demás, frescos o refrigerados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;51;02075101;Sin trocear, frescos o refrigerados.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;51;02075101;Sin trocear, frescos o refrigerados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;45;02074501;Hígados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;45;02074501;Hígados.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;45;02074599;Los demás.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;45;02074599;Los demás.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;34;02073401;Hígados grasos, frescos o refrigerados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;34;02073401;Hígados grasos, frescos o refrigerados.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;35;02073599;Los demás, frescos o refrigerados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;35;02073599;Los demás, frescos o refrigerados.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;36;02073601;Hígados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;36;02073601;Hígados.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;36;02073699;Los demás.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;36;02073699;Los demás.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;44;02074401;Los demás, frescos o refrigerados.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;44;02074401;Los demás, frescos o refrigerados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;52;02075201;Sin trocear, congelados.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;52;02075201;Sin trocear, congelados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;53;02075301;Hígados grasos, frescos o refrigerados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;53;02075301;Hígados grasos, frescos o refrigerados.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;54;02075401;Los demás, frescos o refrigerados.;EXPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;54;02075401;Los demás, frescos o refrigerados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
02;07;55;02075501;Hígados.;IMPORTACIÓN;Kilogramo;1/11/11;(NULL);SI;
